Comp,Epsilon,cm0,cm1,cm2,sTot,pTot,dTot,fTot,NAtom,AverageMass,DevMass,RedMass,AvgENeg,DiffENeg,DevENeg,AvgDipole,DevDipole,DiffDipole,TotalVolume,totalAtoms,density,OmegaAvg,OmegaDev,OmegaMax,OmegaMin,eHull,formE,gap,lattA,lattB,lattC,lattAlpha,lattBeta,lattGamma
Ag3AsS3,22,11453.62542,5911.285483,5892.712617,1.571428571,2.142857143,5.714285714,0,28,70.67231357,35.13522972,7.4220562,2.244285714,0.65,0.302033922,37.44142857,13.13817059,27.57,1.778872,7,5.206250121,0.002871937,0.000296255,0.003282684,0.002504027,0,-0.387118175,1.7217,6.408994158,6.886084652,16.47310931,85.28417158,78.78278999,62.26658693
AgCN,5.6,5161.179736,73.12376964,8.25745055,1.666666667,1.666666667,3.333333333,0,3,44.62873333,44.72447959,6.100519646,2.506666667,1.11,0.454190366,26.87666667,18.8717184,44.9,0.4518243,3,3.097365134,0.004318897,0.000972433,0.005425635,0.002761962,0.341669376,0.341669376,3.6446,4.340431705,4.340431706,4.340431697,104.8118888,104.8118888,104.8118889
AgNO3,9,5737.047064,4622.325908,194.657095,1.8,3,2,0,10,33.97444,36.95493406,3.728906036,3.058,1.51,0.584889733,15.164,18.69036286,47.26,0.4588547,5,4.141339108,0.008434284,0.002322341,0.010448649,0.00353273,0,-0.770075096,1.8539,6.481331834,6.481339239,6.481295279,47.67122269,47.67091066,47.67141757
NaAg(NO2)2,4.5,5740.242225,4648.76743,317.4746886,1.75,2.75,1.25,0,16,27.85849616,30.35534487,2.244318496,2.8375,2.51,0.865747509,31.42,51.90756111,157.46,1.250086,8,3.032462477,0.009807474,0.0034915,0.013468171,0.00239569,0.090744393,-0.980132691,2.2443,6.722920908,6.722920598,6.925713894,110.8327516,110.8327506,105.5014123
Al2Si(O2F)2,6.6,1258.977285,333.2032591,311.3943957,2,3.333333333,0,0,36,20.44898704,5.023003494,2.150451688,2.982222222,2.37,0.928951354,17.51888889,18.25450717,42.3,0.9617268,9,3.437625026,0.010973143,0.004088752,0.016876673,0.004278554,0,-3.54782511,5.6953,4.70801455,8.49746302,8.8887918,90,90,90
Al2O3,9.1,585.1466145,191.4653562,184.7730611,2,2.8,0,0,10,20.3920154,5.380323081,3.822097023,2.708,1.83,0.896513246,21.544,19.96824038,40.76,0.6672289,5,3.873499296,0.007309428,0.002972861,0.010320483,0.003209305,0,-3.442156073,5.8537,5.177954579,5.177954085,5.177955825,55.28962816,55.28960686,55.28959369
AlPO4,6.32,477.4176928,210.3799648,48.20142778,2,3.333333333,0,0,6,20.32521675,6.22578965,3.131229236,2.926666667,1.83,0.745020507,15.315,15.49214828,40.76,0.6119859,6,2.103307794,0.009143735,0.002824679,0.011402326,0.00354572,0,-3.138482889,5.6637,5.177224134,5.177224136,5.177224137,87.93822639,121.1974196,121.1974196
BaCO3,8.53,9959.132029,7251.797027,7247.859586,2,2.8,0,0,20,39.467,48.95437183,3.596467395,2.752,2.55,0.992761804,60.85,103.744148,262.76,1.2518494,5,4.099746372,0.007960753,0.003182216,0.010639294,0.001584488,0,-2.696144611,4.3837,5.37774023,6.59571539,9.01356166,90,90,90
BaH2(CO2)2,7.7,9909.803632,7382.839049,7285.154423,1.777777778,2.222222222,0,0,36,25.26233333,40.04090677,0.415292994,2.683333333,2.55,0.817108724,37.67046832,81.68084407,263.4928926,1.4532768,9,3.125280364,0.023124976,0.007457947,0.031309315,0.004662832,0.134628801,-1.82684048,4.6763,9.08559185,7.70586604,6.90181066,90,90,90
BaH4(ClO)2,9.4,9849.327571,7403.219096,7321.445841,1.555555556,2,0,0,36,27.13966667,41.17585137,0.240560342,2.543333333,2.55,0.786949102,38.48538108,81.56324067,263.4928926,1.52878,9,2.996539602,0.026891692,0.007903449,0.04113759,0.006126536,0.023386663,-1.888088959,5.2435,6.819023715,11.05456463,7.183996319,90,91.11495324,90
