Comp,Epsilon,sTot,pTot,dTot,fTot,NAtom,AverageMass,DevMass,RedMass,AvgENeg,DiffENeg,DevENeg,AvgDipole,DevDipole,DiffDipole,TotalVolume,totalAtoms,density,OmegaAvg,OmegaDev,OmegaMax,OmegaMin,eHull,formE,gap,symm,lattA,lattB,lattC,lattAlpha,lattBeta,lattGamma
Ag3AsS3,22.0,1.5714285714285714,2.142857142857143,5.714285714285714,0.0,28,70.67231357142857,35.1352297199096,7.422056199624237,2.244285714285714,0.6500000000000001,0.3020339215980854,37.441428571428574,13.138170592993998,27.57,1.778872,7.0,5.20625012123704,0.0028719373369543314,0.00029625517135312,0.003282683520495854,0.0025040272186921753,0,-0.3871181753124994,1.7216999999999998,Monoclinic,6.408994158171709,6.886084652201738,16.47310931351476,85.2841715758444,78.78278999290774,62.26658693468257,
AgCN,5.6,1.6666666666666667,1.6666666666666667,3.3333333333333335,0.0,3,44.62873333333334,44.724479592376355,6.1005196463171805,2.5066666666666664,1.11,0.45419036635411913,26.876666666666665,18.871718404945415,44.9,0.4518243,3.0,3.097365133928024,0.00431889681556323,0.0009724328100464094,0.005425634719811559,0.0027619623206706027,0.3416693762900005,0.3416693762899996,3.6446,Trigonal,4.34043170466248,4.340431706155641,4.340431697256378,104.8118887602569,104.8118887645758,104.81188886598378,
AgNO3,9.0,1.8,3.0,2.0,0.0,10,33.97444,36.95493405939727,3.728906036297035,3.058,1.51,0.5848897331976345,15.163999999999998,18.69036286432128,47.26,0.4588547,5.0,4.1413391077865755,0.008434283582807619,0.002322340786062988,0.010448649160402274,0.003532729986012767,0,-0.7700750962260002,1.8539,Trigonal,6.481331834408887,6.481339238921484,6.481295278890461,47.67122268743409,47.67091066290034,47.67141757431941,
NaAg(NO2)2,4.5,1.75,2.75,1.25,0.0,16,27.85849616,30.35534487206033,2.244318495578034,2.8375,2.51,0.8657475093813437,31.419999999999998,51.90756110625888,157.45999999999998,1.2500859999999998,8.0,3.0324624767433264,0.00980747394171217,0.003491500043052815,0.013468171022705316,0.0023956900616006185,0.09074439251000221,-0.9801326905950001,2.2443,Orthorhombic,6.722920908177314,6.722920598086374,6.925713894472964,110.83275158664792,110.83275061625353,105.5014122616239,
Al2Si(O2F)2,6.6,2.0,3.3333333333333335,0.0,0.0,36,20.44898703622222,5.023003493633407,2.1504516884911085,2.982222222222222,2.37,0.9289513535616117,17.518888888888892,18.25450717216889,42.3,0.9617268,9.0,3.4376250258523293,0.01097314291483518,0.004088752003294457,0.01687667306849071,0.004278554393738609,0,-3.5478251102644447,5.6953,Orthorhombic,4.70801455,8.49746302,8.8887918,90.0,90.0,90.0,
Al2O3,9.1,2.0,2.8,0.0,0.0,10,20.3920154,5.38032308109427,3.822097022903636,2.7079999999999997,1.8299999999999998,0.8965132458586432,21.543999999999997,19.968240383168467,40.76,0.6672288999999998,5.0,3.8734992959670893,0.007309428465888574,0.0029728610724806936,0.010320482770677711,0.003209305416273603,0,-3.44215607275,5.853700000000001,Trigonal,5.177954579464252,5.177954085491641,5.177955824940744,55.289628158946066,55.28960686016549,55.289593686360895,
AlPO4,6.32,2.0,3.3333333333333335,0.0,0.0,6,20.325216749666662,6.2257896501855985,3.131229235988574,2.9266666666666663,1.8299999999999998,0.7450205068020311,15.314999999999998,15.492148280123496,40.76,0.6119858999999997,6.0,2.103307793573023,0.009143735227326607,0.0028246792253757784,0.011402325515622596,0.003545720277676441,0,-3.138482888849206,5.6636999999999995,Tetragonal,5.177224134333489,5.177224136268229,5.177224137415835,87.93822639224351,121.19741962754387,121.19741957677802,
BaCO3,8.53,2.0,2.8,0.0,0.0,20,39.467,48.95437183337153,3.5964673945110475,2.752,2.55,0.9927618042612235,60.85,103.74414797953666,262.76,1.2518493999999998,5.0,4.099746372297285,0.007960752715157749,0.0031822164237908005,0.010639293829512755,0.0015844880471445662,0,-2.6961446105,4.3837,Orthorhombic,5.37774023,6.59571539,9.01356166,90.0,90.0,90.0,
BaH2(CO2)2,7.7,1.7777777777777777,2.2222222222222223,0.0,0.0,36,25.262333333333334,40.04090676906417,0.4152929937040971,2.6833333333333336,2.55,0.8171087238958268,37.670468316371114,81.68084406605215,263.49289257633,1.4532767999999998,9.0,3.125280364194342,0.02312497640424159,0.007457946706589859,0.031309314901717754,0.004662831577077421,0.1346288012499981,-1.8268404802488887,4.6763,Orthorhombic,9.08559185,7.70586604,6.90181066,90.0,90.0,90.0,
BaH4(ClO)2,9.4,1.5555555555555556,2.0,0.0,0.0,36,27.139666666666667,41.17585137216014,0.24056034240875795,2.543333333333334,2.55,0.7869491018413382,38.485381077186666,81.56324067141432,263.49289257633,1.5287799999999998,9.0,2.9965396023608797,0.026891691919436418,0.007903449084903019,0.04113759044871728,0.006126536347131427,0.023386663333335278,-1.8880889587222223,5.2435,Monoclinic,6.8190237151667406,11.05456463,7.183996319008761,90.0,91.11495323914792,90.0,
