Material ID,cm0,cm1,cm2,cm3,cm4,cm5,cm6,cm7,cm8,cm9,cm10,cm11,cm12,cm13,cm14,cm15,cm16,cm17,cm18,cm19,cm20,cm21,cm22,cm23,cm24,cm25,cm26,cm27,cm28,cm29,cm30,cm31,cm32,cm33,cm34,cm35,cm36,cm37,cm38,cm39,cm40,cm41,cm42,cm43,cm44,cm45,cm46,cm47,cm48,cm49,cm50,cm51,cm52,cm53,cm54,cm55,cm56,cm57,cm58,cm59,cm60,cm61,cm62,cm63,cm64,cm65,cm66,cm67,cm68,cm69,cm70,cm71,cm72,cm73,cm74,cm75,cm76,cm77,cm78,cm79,cm80,cm81,cm82,cm83,cm84,cm85,cm86,cm87,cm88,cm89,cm90,cm91,cm92,cm93,cm94,cm95,cm96,cm97,cm98,cm99,cm100,cm101,cm102,cm103,cm104,cm105,cm106,cm107,cm108,cm109,cm110,cm111,cm112,cm113,cm114,cm115,cm116,cm117,cm118,cm119,cm120,cm121,cm122,cm123,cm124,cm125,cm126,cm127,cm128,cm129,cm130,cm131,cm132,cm133,cm134,cm135,cm136,cm137,cm138,cm139,cm140,cm141,cm142,cm143,cm144,cm145,cm146,cm147,cm148,cm149,cm150,cm151,cm152,cm153,cm154,cm155,cm156,cm157,cm158,cm159,cm160,cm161,cm162,cm163,cm164,cm165,cm166,cm167,cm168,cm169,cm170,cm171,cm172,cm173,cm174,cm175,cm176,cm177,cm178,cm179,cm180,cm181,cm182,cm183,cm184,cm185,cm186,cm187,cm188,cm189,cm190,cm191,cm192,cm193,cm194,cm195,cm196,cm197,cm198,cm199,
mvc-8151,7141.444131580999,5309.523794329268,2558.639577738929,1885.6890915993044,1759.6133212867403,1747.4301492289108,230.35707395951937,188.335458845965,67.70540083864834,58.92614280818968,54.31658734336036,53.063175157287475,50.79756686964567,49.54798124931794,46.506179449214955,46.146804714294205,44.47882951903958,42.76458816525233,41.31170396041386,41.08551646282762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mvc-8154,1998.3780093323096,1153.2842812176195,849.2200552733682,849.219617773356,819.9978303302072,819.9975083515868,98.21312554582772,75.49656082235515,67.91313799607144,65.44482608529536,60.81431280024037,60.81425135988077,57.34816814067715,51.44637431385345,51.44632103010074,44.75696403877929,41.37120259511862,41.37117465613032,36.69094312026338,33.145308477319595,33.14529442606876,27.42594256104974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mvc-1148,8778.322108269027,7072.223613035612,1548.284146733442,1100.790603493376,1059.3679065359975,238.66706316598908,86.93111537059877,63.360687471948076,59.33699158839718,58.605637852651526,49.43831319502944,46.39129141654424,44.3750481749451,41.538822560664116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mvc-14313,5239.419050496721,3382.8725064536306,3314.103541852053,277.0036489620614,160.7223665678169,62.77746216374714,53.55858712977695,50.94430406870904,50.86896580621864,48.28434103496947,46.27752232854756,45.31182172850944,45.27103414917812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mvc-13470,20211.23217332193,317.05114939831435,74.4372268796865,73.8125036773717,73.81249577871675,72.60271135013413,64.59092341793338,64.59091631711891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mvc-9795,23366.017140979806,15425.016527765369,15425.010958450053,13587.015532699228,13587.012681583103,13293.987307021955,8590.974128539783,7469.098014809356,7469.095294879912,7247.407614266971,7021.884564212018,7021.883523364116,437.4858093287231,284.06613067629496,284.0658554709823,139.29328794768165,116.92038094664184,116.92035149717675,92.59655015825258,92.03974701163891,92.03970938794224,83.41555523543315,83.41551604177421,78.96830083966934,76.46716344390043,76.0159309066777,76.01584403717774,72.89731516993558,71.29003159481073,71.29000453652628,69.00940257205335,69.00938657838222,67.00851002180131,64.68864593237262,64.68858668163699,62.604986056175555,59.4888067888468,58.46877084431828,58.468748130931424,57.863531502355265,54.19009424486598,54.190084290959156,52.61641033527863,52.22326801072425,52.22324769749505,48.237587956676805,48.2375780097618,47.99066219628967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mvc-5683,4225.153927212632,2092.3637211632913,1969.62374864375,1926.0933323817023,1525.3108009264379,1317.7391764717497,1239.128835429256,1206.7079079228151,621.7719666240242,611.9920907498675,581.0090765630157,545.3955964570494,95.18257873345712,73.06866449366323,65.62407920543413,63.84678888372506,59.23745637473841,59.17834144082353,58.400850165333324,55.25103686100989,51.550568765192466,47.30950943722879,46.13029019738211,45.64307303546923,43.61517460189281,43.34931731441103,41.88172242763881,39.797240741992326,39.65884926648008,38.68256080688202,35.89402056772919,21.986500802326596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mvc-6883,4716.860656008712,2152.7177698175265,2120.1827861636607,1684.088317443214,1549.5592736836895,1494.85093488415,1465.4863423650343,1443.7833892784913,1181.1118817330075,1134.9979610066432,1132.7474818354372,1127.4561683652134,1115.2544133090275,1097.2518097952695,1061.2019052788833,1043.1533939609142,384.25431459612423,372.690351929252,367.912336944696,336.9943585105907,280.2795675895174,278.0998735776129,269.7390065182744,251.1856019258301,247.77954510024645,239.9108163915186,238.18419878532978,235.19757783246143,228.97410226232395,225.18104367928794,221.11007209848387,210.16304571062958,59.58146079032541,58.385812110828645,57.71730493726943,55.909971532687365,54.65677653030452,54.33971924735747,54.253576839138454,53.88653880582185,53.58919846514465,52.73044417396418,49.30603120731863,48.909856315772736,48.866020064980376,48.31409986970939,47.95438704690745,47.928435575397785,47.660041587198165,46.06897369515628,45.416300978595366,45.32525534675129,45.03780035599649,44.70491560606171,44.3512774779841,43.777921554420075,43.466128376341274,43.20746978790818,42.495310152582825,42.406067093329774,41.56264277863883,41.54671426621108,40.846778162011766,40.58656599274877,40.46904130827295,40.09484606656436,39.91044847124825,39.74266179236842,39.68671894869582,38.67759946861261,38.607265056662435,38.24881482626674,37.809652667860924,36.99448892914632,36.76483235774705,30.66976856622873,29.684769634795924,29.289246882603756,26.453408559030663,25.58935278131274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mvc-6881,4595.142057543225,2118.608438245707,2090.0483096221624,1678.494183007958,1545.3924536640297,1497.9766208783342,1467.4817025436053,1445.9556232523514,1078.3856885546747,1075.1092628065878,1056.4392138321223,1039.4791058077085,1031.2100252715456,997.4918515364628,964.2969505640925,950.9425095728272,374.91831661696847,369.2247065495267,363.79007175831657,335.98192267716746,281.0249642256314,278.71834783452135,271.6585714054819,251.02877105571767,248.48798699343342,240.78600964808996,238.64397774302043,235.37232163760737,229.4603810454856,225.61813340830022,221.56872191460496,211.2492952563479,59.44721977515771,58.607906811802245,57.70202954196618,55.85062974040159,54.479900322143635,54.338369461068034,54.238414302562234,54.04378132930326,53.67370041385628,52.7204021206369,49.22455010087569,49.222384372691494,49.05262476708661,48.4589872770447,48.026115405605424,48.01950263987654,48.01313602590923,46.34839917801635,45.39110788402242,45.31874216393414,45.14996519477215,44.828954040376914,44.550900439777685,43.64589000701974,43.60728964293265,43.13952241671409,42.68768922123306,42.3922499753759,41.616659533302155,41.60938155940267,41.08271002709917,40.8408754362475,40.445102714922655,40.26503256387579,40.177333042016656,40.01639379323505,39.522885743736204,38.96104254419609,38.66450410890618,38.30860542125223,38.06449814559605,37.06176268722472,36.854661302697316,30.609250511441967,29.500071850913766,29.392330629368594,26.686931582371656,25.778813028889587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mvc-4467,9683.37191164979,3766.990735229861,3766.9906207571257,3766.990599558609,3694.0315030348766,3694.031372649791,3694.0313375307546,3489.3486309500718,2123.585381040876,2123.5853568113066,2075.8524350817966,1978.5319002917836,1978.5318843769364,1978.53187943494,1813.34583981128,1813.3458367418737,1813.3458121428348,1638.5569782961993,1638.5569655301751,1528.113971183203,768.1093803876728,681.9099546304974,592.1443615385103,592.1443441454518,592.1443419541773,592.0538171628795,592.0537746998642,592.0537707007328,509.26335657174616,509.26335184954576,497.46544604403203,497.46544269462964,87.8416741564414,77.62091360517475,77.6206546535656,77.62065377871774,74.81380366629452,74.8138021222203,73.55944649784055,71.93261816888867,71.93247573126467,71.93247272584983,71.28521507355333,71.28511058188374,71.28510996151394,53.79279528285989,53.7056809680136,53.70560632308476,53.70560442061362,46.58708928980392,46.58708848071272,44.48963269462767,44.48963257570465,43.44532670088232,43.44526945416362,43.44526897720772,42.55757034257107,42.55753200314092,42.55753154947407,42.22961755148783,42.22961629540308,42.229612723014256,41.77941760131606,41.7794034284974,41.77940321582309,41.09033765699376,41.09033692431927,41.090290522625644,38.60460984501606,38.604609175051706,38.604568215246125,37.4698503009941,37.46984959813129,37.46982310040865,37.39890363165914,36.28544411955524,36.28544382104281,36.28542736628154,36.28507983634809,36.28507933987678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
