#MP_Number	CNL	EG	EFermi	ValenceMax	CondMin
1	-3.037	-0.331	0.690	1.494	1.162
7	1.109	2.488	0.408	0.378	2.866
9	-5.562	-0.411	3.254	2.676	2.265
11	-0.524	-0.400	4.842	5.100	4.700
14	0.377	0.999	1.883	1.851	2.850
17	-0.319	-0.517	6.702	7.018	6.501
19	-0.084	0.167	5.642	5.578	5.745
21	-6.035	-0.372	2.068	2.353	1.981
24	0.995	2.456	9.911	9.883	12.338
25	3.769	7.331	-6.800	-6.890	0.441
28	-0.728	-0.403	9.558	9.782	9.379
30	0.697	-0.755	7.625	5.416	4.661
32	-0.397	0.000	2.546	2.545	2.545
35	-0.014	-0.103	6.402	6.406	6.303
36	-6.944	-0.144	3.766	3.258	3.115
39	-1.327	-0.442	6.040	3.783	3.341
42	-0.157	-0.260	5.262	5.377	5.117
43	-0.094	-0.175	14.574	14.667	14.491
45	-5.870	-0.355	1.982	2.155	1.800
47	0.979	3.339	9.957	9.931	13.270
48	0.086	-0.005	3.441	3.443	3.438
51	-11.954	-0.715	0.242	3.271	2.557
56	-0.350	-0.345	1.734	1.780	1.436
58	-4.500	-0.982	0.405	1.553	0.571
64	-0.347	-0.671	9.463	9.668	8.998
66	1.191	4.113	9.796	9.665	13.777
70	-3.642	-0.513	0.356	1.326	0.813
71	-6.170	-0.709	1.468	1.921	1.212
72	-0.344	-0.299	5.890	6.116	5.817
93	-0.095	-0.192	14.723	14.815	14.623
95	-4.905	-0.521	1.683	2.019	1.497
104	-0.176	-0.080	6.458	6.534	6.453
114	-0.242	-0.541	11.420	11.633	11.092
117	-0.356	-0.201	4.983	5.014	4.813
118	1.855	3.605	-0.500	-0.543	3.062
119	1.005	1.204	5.513	8.348	9.553
128	-0.428	-0.464	3.230	3.445	2.981
130	-0.869	-0.152	8.580	8.691	8.538
132	-0.783	-0.534	1.919	2.256	1.722
137	0.331	0.356	2.821	2.707	3.063
139	-0.643	-0.274	1.567	1.763	1.488
141	-0.863	-0.314	1.376	1.583	1.269
149	-0.001	0.612	5.698	5.611	6.223
154	3.773	7.341	-6.846	-6.917	0.424
157	-0.270	0.106	5.501	5.447	5.553
158	-0.096	-0.009	3.905	3.910	3.901
159	-4.587	-0.856	3.523	2.893	2.037
160	0.267	1.431	6.139	6.064	7.495
162	-5.809	-0.043	1.447	1.460	1.417
165	-0.226	0.452	5.905	5.865	6.317
166	-6.040	-0.482	2.073	2.337	1.855
168	-0.337	-0.184	7.109	7.188	7.004
169	-0.114	0.095	4.043	4.024	4.118
170	-0.386	-0.688	3.102	3.704	3.015
172	-0.311	-0.438	3.458	3.795	3.357
173	-0.232	-0.468	7.870	8.566	8.098
174	-0.076	-0.804	4.934	5.190	4.386
181	-0.076	0.216	2.295	2.188	2.404
186	-0.214	-0.411	6.121	6.343	5.932
189	-0.004	0.226	9.805	9.733	9.959
190	0.499	-0.424	0.817	0.376	-0.047
191	-0.395	-0.847	4.692	5.172	4.326
193	-0.553	-0.881	5.006	5.679	4.798
200	0.534	0.867	6.511	6.440	7.307
201	-0.373	-0.381	3.988	4.120	3.739
202	-0.749	-0.755	6.162	6.535	5.780
204	-0.129	-0.126	7.692	7.750	7.624
206	-0.552	-0.515	4.376	4.663	4.148
209	0.511	0.792	1.604	1.570	2.362
210	-0.390	-0.627	0.544	0.935	0.308
213	-0.536	-0.897	3.810	4.100	3.203
216	1.922	3.824	2.410	2.400	6.224
218	2.272	3.782	1.270	1.184	4.966
223	3.229	3.249	-0.713	-0.827	2.422
