Material ID,Epsilon
mvc-8151,13.24733333
mvc-8154,15.34673333
mvc-1148,25.55666667
mvc-14313,24.224
mvc-13470,19.56973333
mvc-9795,28.20706667
mvc-5683,13.61133333
mvc-6883,38.80873333
mvc-6881,39.04873333
mvc-4467,23.07
mvc-6601,8.850133333
mvc-4345,13.64873333
mvc-4340,17.7294
mvc-8139,26.58133333
mvc-605,25.8564
mvc-14231,12.19873333
mvc-15476,19.434
mvc-7737,20.42266667
mvc-600,22.1
mvc-6952,13.50273333
mvc-6955,13.69273333
mvc-5289,20.642
mvc-601,30.65333333
mvc-6958,13.2494
mvc-9468,83.36666667
mvc-6482,41.36733333
mvc-5023,19.81266667
mvc-5029,19.58006667
mvc-11955,13.05866667
mvc-5024,22.242
mvc-11950,22.03533333
mvc-9284,14.312
mvc-13772,14.3364
mvc-11958,17.63273333
mvc-10608,14.7904
mvc-6226,20.536
mvc-10602,18.0934
mvc-10605,16.6944
mvc-8156,13.97
mvc-1149,28.74133333
mvc-14314,11.18206667
mvc-13472,19.03146667
mvc-9791,28.448
mvc-3675,24.01133333
mvc-6882,39.668
mvc-6880,36.8674
mvc-6970,12.4674
mvc-13972,22.99666667
mvc-14477,14.4524
mvc-776,11.7864
mvc-8138,14.5714
mvc-5312,20.17933333
mvc-2210,48.84666667
mvc-12966,11.16366667
mvc-6954,13.49066667
mvc-6957,12.95733333
mvc-5285,39.14066667
mvc-603,29.28
mvc-4889,15.37473333
mvc-4881,10.384
mvc-5021,16.95933333
mvc-4886,9.860133333
mvc-5022,18.06133333
mvc-13775,16.91
mvc-11953,10.66346667
mvc-11952,13.768
mvc-9286,26.5
mvc-11957,13.854
mvc-11959,17.8194
mvc-6221,28.37133333
mvc-10952,15.16
mvc-6972,18.60333333
mvc-7674,15.40666667
mvc-15474,18.2284
mvc-10601,22.312
mvc-7287,13.36406667
mvc-6227,41.36066667
mvc-6973,19.77933333
mvc-15386,10.6428
mvc-15384,11.50566667
mvc-15129,28.81506667
mvc-12765,25.82
mvc-12764,24.55333333
mvc-11484,6.830666667
mvc-6728,20.30806667
mvc-7679,19.77333333
mvc-5444,37.29406667
mvc-12309,20.32666667
mvc-7960,17.39866667
