Material ID,Epsilon
mvc-8151,11.90933333
mvc-8154,8.867333333
mvc-1148,24.90533333
mvc-14313,24.576
mvc-13470,21.81733333
mvc-9795,60.042
mvc-5683,13.546
mvc-6883,8.612
mvc-6881,8.715333333
mvc-4467,52.02
mvc-6601,24.002
mvc-4345,29.18733333
mvc-4340,48.24933333
mvc-8139,53.75333333
mvc-605,453.1606667
mvc-14231,26.86314667
mvc-15476,34.55266667
mvc-7737,38.05533333
mvc-600,24.544
mvc-6952,13.61924
mvc-6955,13.76257333
mvc-5289,80.54
mvc-601,101.6066667
mvc-6958,11.47924
mvc-9468,186.9368
mvc-6482,9.35
mvc-5023,17.13333333
mvc-5029,15.63133333
mvc-11955,15.39057333
mvc-5024,22.982
mvc-11950,49.94066667
mvc-9284,11.55466667
mvc-13772,32.16733333
mvc-11958,48.24933333
mvc-10608,18.46033333
mvc-6226,20.33333333
mvc-10602,27.14733333
mvc-10605,178.338
mvc-8156,13.342
mvc-1149,167.4333333
mvc-14314,674.3946667
mvc-13472,49.42133333
mvc-9791,159.7513333
mvc-3675,70.96666667
mvc-6882,14.70733333
mvc-6880,44.63666667
mvc-6970,15.48257333
mvc-13972,35.108
mvc-14477,169.0466667
mvc-776,24.332
mvc-8138,9
mvc-5312,27.99066667
mvc-2210,53.60266667
mvc-12966,7.625333333
mvc-6954,14.83324
mvc-6957,15.61790667
mvc-5285,11.604
mvc-603,75.86
mvc-4889,29.50933333
mvc-4881,13.744
mvc-5021,78.08866667
mvc-4886,3341.815333
mvc-5022,19.852
mvc-13775,298.2366667
mvc-11953,29.61990667
mvc-11952,16.35657333
mvc-9286,113.74
mvc-11957,15.21790667
mvc-11959,70.52933333
mvc-6221,56.26533333
mvc-10952,15.04066667
mvc-6972,20.66733333
mvc-7674,18.38133333
mvc-15474,16.178
mvc-10601,40.05333333
mvc-7287,18.624
mvc-6227,16.128
mvc-6973,35.76133333
mvc-15386,2674.824
mvc-15384,31.40666667
mvc-15129,422.818
mvc-12765,25.184
mvc-12764,19.25
mvc-11484,162.3346667
mvc-6728,10.25866667
mvc-7679,19.22666667
mvc-5444,9.916666667
mvc-12309,33.302
mvc-7960,8.024666667
mvc-7961,29.79333333
mvc-9017,41.24466667
mvc-9654,155.9733333
mvc-7963,8.129333333
mvc-7962,64.34
mvc-10435,16.78666667
mvc-12777,20.1
mvc-16106,26.82666667
mvc-16459,23.88
mvc-16458,39.16133333
mvc-16102,19.70466667
mvc-16105,33.008
mvc-7383,26.42333333
mvc-10438,46.18
mvc-7386,19.09466667
mvc-7381,34.18866667
mvc-7384,29.52333333
mvc-882,16.34866667
