Ag,-2.27
Al,7.8
Ar,-6
As,-3.9
Au,-2.7435650099
B,-8.7
Ba,11.3
Be,-12.6
Bi,-17
Br,-4.9
C,-6.2
Ca,13.8
Cd,-2.3
Ce,220
Cl,-7.2
Co,1000000
Cr,44.5
Cs,2.8
Cu,-1.08
Dy,5450
Er,3770
Eu,276
F,0
Fe,1000000
Ga,-3
Gd,9295.2941176471
Ge,-1.5
H,-24.8
He,-5.9
Hf,5.3
Hg,-2.1
Ho,5490
I,-4.5
In,-1.4
Ir,1.67
K,6.7
Kr,-4.4
La,11
Li,25.6
Lu,1.2
Mg,6.9
Mn,121
Mo,11.7
N,-5.4
Na,8.8
Nb,27.6
Nd,480
Ne,-4.1
Ni,1000000
O,1335
Os,0.6
P,-11.3
Pa,32.5
Pb,-1.5
Pd,65.7
Pr,423
Pt,12.2
Pu,31.7
Rb,2.6
Re,4.56
Rh,13.6
Ru,5.42
S,-6.2
Sb,-10.9
Sc,88
Se,-4
Si,-1.6
Sm,111
Sn,-3.1
Sr,1.32
Ta,10.7
Tb,13600
Tc,34.2
Te,-3.9
Th,7.2
Ti,40.1
Tl,-3
Tm,1990
U,21.6
V,62.8
W,4.59
Xe,-4.3
Y,66.6
Yb,5.9
Zn,-2.21
Zr,16.8
